Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	RO:0002551	IAO:0000115	A relation between a subdivision of an organism and the single subdivision of skeleton that provides structural support for that subdivision.	
ERROR	missing_ontology_license	nbo.owl	dc:license		
ERROR	missing_ontology_title	nbo.owl	dc11:title		
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of	
ERROR	multiple_labels	BFO:0000050	rdfs:label	part of@en	
ERROR	multiple_labels	BFO:0000050	rdfs:label	part_of	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part@en	
ERROR	multiple_labels	BFO:0000051	rdfs:label	has_part	
ERROR	multiple_labels	BFO:0000062	rdfs:label	preceded by@en	
ERROR	multiple_labels	BFO:0000062	rdfs:label	preceded_by	
ERROR	multiple_labels	BFO:0000063	rdfs:label	precedes	
ERROR	multiple_labels	BFO:0000063	rdfs:label	precedes@en	
ERROR	multiple_labels	BFO:0000066	rdfs:label	occurs in	
ERROR	multiple_labels	BFO:0000066	rdfs:label	occurs in@en	
ERROR	multiple_labels	BFO:0000067	rdfs:label	contains process	
ERROR	multiple_labels	BFO:0000067	rdfs:label	contains process@en	
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage	
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage@en	
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition	
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition@en	
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note	
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note@en	
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator note@en	
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator notes	
ERROR	multiple_labels	IAO:0000424	rdfs:label	expand expression to	
ERROR	multiple_labels	IAO:0000424	rdfs:label	expand expression to@en	
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of	
ERROR	multiple_labels	RO:0000053	rdfs:label	bearer of@en	
ERROR	multiple_labels	RO:0000087	rdfs:label	has role	
ERROR	multiple_labels	RO:0000087	rdfs:label	has role@en	
ERROR	multiple_labels	RO:0001015	rdfs:label	location of@en	
ERROR	multiple_labels	RO:0001015	rdfs:label	location_of	
ERROR	multiple_labels	RO:0001019	rdfs:label	contains	
ERROR	multiple_labels	RO:0001019	rdfs:label	contains@en	
ERROR	multiple_labels	RO:0001025	rdfs:label	located in@en	
ERROR	multiple_labels	RO:0001025	rdfs:label	located_in	
ERROR	multiple_labels	RO:0002000	rdfs:label	2D boundary of@en	
ERROR	multiple_labels	RO:0002000	rdfs:label	boundary of	
ERROR	multiple_labels	RO:0002002	rdfs:label	has 2D boundary@en	
ERROR	multiple_labels	RO:0002002	rdfs:label	has boundary	
ERROR	multiple_labels	RO:0002005	rdfs:label	innervated_by	
